Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
08/23/00,Dem,162,76.51,0.451,0.479,0.472,0.472
08/23/00,Reform,514,2.156,0.004,0.005,0.004,0.005
08/23/00,Rep,720,383.884,0.523,0.546,0.533,0.525
08/24/00,Dem,57,26.895,0.465,0.474,0.472,0.472
08/24/00,Reform,128,0.639,0.004,0.006,0.005,0.005
08/24/00,Rep,105,55.325,0.525,0.528,0.527,0.525
08/25/00,Dem,114,53.838,0.47,0.476,0.472,0.47
08/25/00,Reform,402,2.011,0.005,0.006,0.005,0.005
08/25/00,Rep,157,82.379,0.523,0.526,0.525,0.523
08/26/00,Dem,593,287.865,0.474,0.495,0.485,0.487
08/26/00,Reform,554,2.766,0.004,0.006,0.005,0.004
08/26/00,Rep,236,123.182,0.518,0.523,0.522,0.518
08/27/00,Dem,145,68.674,0.471,0.48,0.474,0.473
08/27/00,Reform,419,1.676,0.004,0.004,0.004,0.004
08/27/00,Rep,226,117.508,0.517,0.531,0.52,0.521
08/28/00,Dem,241,115.088,0.47,0.481,0.478,0.48
08/28/00,Reform,196,0.817,0.004,0.006,0.004,0.006
08/28/00,Rep,810,418.549,0.501,0.532,0.517,0.511
08/29/00,Dem,291,141.464,0.484,0.492,0.486,0.487
08/29/00,Reform,469,2.697,0.004,0.007,0.006,0.006
08/29/00,Rep,332,169.526,0.506,0.521,0.511,0.507
08/30/00,Dem,85,41.764,0.487,0.494,0.491,0.487
08/30/00,Reform,137,0.657,0.004,0.006,0.005,0.005
08/30/00,Rep,41,20.834,0.508,0.514,0.508,0.508
08/31/00,Dem,283,140.651,0.489,0.509,0.497,0.501
08/31/00,Reform,359,1.655,0.004,0.006,0.005,0.004
08/31/00,Rep,737,370.691,0.5,0.508,0.503,0.501
09/01/00,Dem,672,335.14,0.493,0.513,0.499,0.513
09/01/00,Reform,439,1.938,0.004,0.007,0.004,0.004
09/01/00,Rep,458,231.788,0.49,0.519,0.506,0.517
09/02/00,Dem,201,102.51,0.501,0.515,0.51,0.501
09/02/00,Reform,74,0.296,0.004,0.004,0.004,0.004
09/02/00,Rep,160,79.143,0.481,0.5,0.495,0.5
09/03/00,Dem,324,162.019,0.5,0.503,0.5,0.5
09/03/00,Reform,111,0.451,0.004,0.006,0.004,0.004
09/03/00,Rep,259,128.492,0.495,0.5,0.496,0.495
09/04/00,Dem,368,184.437,0.498,0.508,0.501,0.508
